      1 2.0,"2019-09-30 23:38:04.000000","2019-09-30 23:43:35.000000",1.0,0.95,1.0,N,234.0,170.0,1.0,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
      1 2.0,"2019-09-30 23:36:28.000000","2019-09-30 23:44:58.000000",1.0,1.47,1.0,N,234.0,68.0,2.0,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
      1 2.0,"2019-09-30 23:36:06.000000","2019-09-30 23:39:32.000000",1.0,0.69,1.0,N,234.0,137.0,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
      1 2.0,"2019-09-30 23:35:35.000000","2019-09-30 23:52:32.000000",5.0,5.72,1.0,N,234.0,66.0,1.0,18.5,0.5,0.5,2.23,0.0,0.3,24.53,2.5
      1 2.0,"2019-09-30 23:35:09.000000","2019-09-30 23:44:06.000000",5.0,2.19,1.0,N,234.0,144.0,1.0,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5
      1 2.0,"2019-09-30 23:34:26.000000","2019-09-30 23:44:35.000000",1.0,2.35,1.0,N,142.0,234.0,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
      1 2.0,"2019-09-30 23:34:05.000000","2019-10-01 00:13:08.000000",1.0,8.51,1.0,N,234.0,36.0,1.0,31.0,0.5,0.5,6.96,0.0,0.3,41.76,2.5
      1 2.0,"2019-09-30 23:33:57.000000","2019-09-30 23:41:18.000000",1.0,2.02,1.0,N,234.0,50.0,1.0,8.5,0.5,0.5,1.0,0.0,0.3,13.3,2.5
      1 2.0,"2019-09-30 23:33:42.000000","2019-09-30 23:33:45.000000",1.0,0.0,5.0,N,234.0,264.0,1.0,80.0,0.0,0.0,5.0,0.0,0.3,87.8,2.5
      1 2.0,"2019-09-30 23:33:30.000000","2019-09-30 23:46:55.000000",2.0,3.6,1.0,N,234.0,263.0,1.0,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
      1 2.0,"2019-09-30 23:33:30.000000","2019-09-30 23:41:06.000000",1.0,1.73,1.0,N,230.0,234.0,1.0,8.0,0.5,0.5,1.18,0.0,0.3,12.98,2.5
      1 2.0,"2019-09-30 23:33:17.000000","2019-09-30 23:44:08.000000",1.0,3.02,1.0,N,234.0,48.0,1.0,11.5,0.5,0.5,3.82,0.0,0.3,19.12,2.5
      1 2.0,"2019-09-30 23:32:41.000000","2019-09-30 23:49:22.000000",1.0,5.15,1.0,N,234.0,112.0,2.0,18.0,0.5,0.5,0.0,0.0,0.3,21.8,2.5
      1 2.0,"2019-09-30 23:32:34.000000","2019-09-30 23:49:42.000000",1.0,4.53,1.0,N,234.0,239.0,1.0,16.0,0.5,0.5,3.96,0.0,0.3,23.76,2.5
      1 2.0,"2019-09-30 23:32:20.000000","2019-09-30 23:42:51.000000",1.0,2.17,1.0,N,148.0,234.0,2.0,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5
      1 2.0,"2019-09-30 23:31:20.000000","2019-09-30 23:34:20.000000",1.0,0.8,1.0,N,234.0,90.0,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
      1 2.0,"2019-09-30 23:31:12.000000","2019-09-30 23:35:35.000000",1.0,0.85,1.0,N,137.0,234.0,2.0,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5
      1 2.0,"2019-09-30 23:30:46.000000","2019-09-30 23:39:37.000000",2.0,1.82,1.0,N,234.0,234.0,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
      1 2.0,"2019-09-30 23:30:41.000000","2019-09-30 23:34:49.000000",5.0,0.71,1.0,N,234.0,90.0,2.0,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5
      1 2.0,"2019-09-30 23:30:24.000000","2019-09-30 23:48:05.000000",1.0,5.41,1.0,N,234.0,74.0,4.0,-17.5,-0.5,-0.5,0.0,0.0,-0.3,-21.3,-2.5
      1 2.0,"2019-09-30 23:30:24.000000","2019-09-30 23:48:05.000000",1.0,5.41,1.0,N,234.0,74.0,2.0,17.5,0.5,0.5,0.0,0.0,0.3,21.3,2.5
      1 2.0,"2019-09-30 23:29:57.000000","2019-09-30 23:39:42.000000",2.0,2.6,1.0,N,234.0,261.0,1.0,10.0,0.5,0.5,3.0,0.0,0.3,16.8,2.5
      1 2.0,"2019-09-30 23:29:48.000000","2019-09-30 23:44:52.000000",2.0,3.06,1.0,N,142.0,234.0,1.0,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
      1 2.0,"2019-09-30 23:29:37.000000","2019-09-30 23:33:45.000000",1.0,0.81,1.0,N,234.0,170.0,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
      1 2.0,"2019-09-30 23:29:30.000000","2019-09-30 23:47:32.000000",2.0,3.83,1.0,N,88.0,234.0,1.0,15.5,0.5,0.5,4.82,0.0,0.3,24.12,2.5
      1 2.0,"2019-09-30 23:28:58.000000","2019-09-30 23:39:55.000000",1.0,2.81,1.0,N,163.0,234.0,1.0,10.5,0.5,0.5,1.8,0.0,0.3,16.1,2.5
      1 2.0,"2019-09-30 23:28:47.000000","2019-09-30 23:49:03.000000",1.0,8.14,1.0,N,138.0,234.0,1.0,25.0,0.5,0.5,6.98,6.12,0.3,41.9,2.5
      1 2.0,"2019-09-30 23:28:46.000000","2019-09-30 23:33:07.000000",2.0,0.89,1.0,N,234.0,79.0,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
      1 2.0,"2019-09-30 23:28:43.000000","2019-09-30 23:33:15.000000",1.0,1.3,1.0,N,114.0,234.0,2.0,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
      1 2.0,"2019-09-30 23:27:20.000000","2019-09-30 23:32:01.000000",1.0,1.01,1.0,N,158.0,234.0,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
      1 2.0,"2019-09-30 23:27:12.000000","2019-09-30 23:38:42.000000",1.0,2.01,1.0,N,234.0,246.0,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
      1 2.0,"2019-09-30 23:27:12.000000","2019-09-30 23:34:21.000000",5.0,1.48,1.0,N,234.0,79.0,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
      1 2.0,"2019-09-30 23:27:00.000000","2019-09-30 23:35:07.000000",1.0,1.92,1.0,N,234.0,230.0,2.0,8.5,0.5,0.5,0.0,0.0,0.3,12.3,2.5
      1 2.0,"2019-09-30 23:26:23.000000","2019-09-30 23:29:16.000000",2.0,0.76,1.0,N,79.0,234.0,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
      1 2.0,"2019-09-30 23:26:02.000000","2019-09-30 23:31:28.000000",4.0,1.09,1.0,N,234.0,137.0,1.0,6.0,0.5,0.5,1.08,0.0,0.3,10.88,2.5
      1 2.0,"2019-09-30 23:25:10.000000","2019-09-30 23:36:53.000000",2.0,2.84,1.0,N,234.0,261.0,1.0,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
