track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey and  Taylor Swift",2,2023,5,26,359,2,0,110,F#,Minor,66,32,40,81,0,11,3
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396,105,C#,Major,80,69,78,28,0,11,14
Stand By Me (feat. Morgan Wallen),"Lil Durk and  Morgan Wallen",2,2023,5,26,381,5,113,134,B,Major,76,61,58,6,0,16,3
Hummingbird (Metro Boomin & James Blake),"James Blake and  Metro Boomin",2,2023,6,2,277,1,1,81,F#,Major,59,26,60,46,1,25,13
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo and  Mari Fernandez",2,2023,3,1,967,5,29,154,F#,Major,63,75,92,31,0,91,5
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey and  Suga",2,2023,6,5,215,6,4,84,A,Minor,43,14,74,1,0,19,8
69,"Nicky Jam and  Feid",2,2023,5,18,1134,22,3,93,G#,Major,79,58,62,11,0,11,23
Ni  a Bo,"Sean Paul and  Feid",2,2023,4,21,1305,34,44,91,G,Major,82,47,62,10,0,10,15
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833,142,A#,Minor,82,54,44,6,0,33,7
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar and  Beyonc ",2,2023,5,19,896,0,1,126,C#,Major,78,20,70,1,0,16,4
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328,154,F#,Major,59,63,89,18,0,80,9
Cupido,Tini,1,2023,2,14,1240,24,217672943,120,A,Major,91,63,58,52,0,31,22
Cart  o B,"MC Caverinha and  KayBlack",2,2023,5,11,269,4,11,108,A,Minor,84,55,47,26,0,20,64
Danger (Spider) (Offset & JID),"Offset and  JID",2,2023,6,2,214,0,0,143,B,Major,83,25,69,4,0,23,12
Oi Balde - Ao Vivo,Z   Neto & Crist,1,2023,2,14,845,2,145458418,108,D,Major,67,55,67,60,0,80,5
Mejor Que Yo,"Mambo Kingz and  DJ Luian and  Anuel Aa",3,2023,5,4,675,0,1,178,C#,Minor,62,56,66,18,0,12,5
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489,176,F#,Minor,50,44,76,10,0,32,5
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers and  LE SSERAFIM",2,2023,5,1,327,13,49,104,E,Minor,80,38,88,11,0,11,5
Haegeum,Agust D,1,2023,4,21,244,12,118810253,85,G,Major,70,83,84,31,0,47,30
Conex  es de M  fia (feat. Rich ,"Rich The Kid and  Matu ",2,2023,4,30,385,4,29,117,F#,Minor,77,69,58,39,0,26,5
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629,80,,Major,52,57,48,86,0,15,39
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907,98,F,Major,44,36,41,50,0,38,5
X SI VOLVEMOS,"Karol G and  Romeo Santos",2,2023,2,2,2127,33,4,178,C#,Minor,79,58,78,34,0,11,25
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964,120,D,Major,77,94,66,65,0,38,3
I AM,IVE,1,2023,4,10,366,15,123132751,122,E,Minor,68,38,88,1,0,8,5
Shorty Party,"Cartel De Santa and  La Kelly",2,2023,3,4,432,12,33,96,D,Major,93,47,47,33,0,10,36
Super,SEVENTEEN,1,2023,4,24,271,12,91221625,137,G#,Major,77,35,88,16,0,17,9
Double Fantasy (with Future),"The Weeknd and  Future",2,2023,4,21,1169,0,0,119,A,Minor,60,10,57,1,0,50,3
Princess Diana (with Nicki Minaj),"Nicki Minaj and  Ice Spice",2,2023,4,14,1444,4,0,148,A,Major,90,74,68,14,0,10,19
Di Que Si,"Grupo Marca Registrada and  Grupo Frontera",2,2023,2,3,356,10,37,182,A,Major,57,80,59,8,0,6,5
Shoong! (feat. LISA of BLACKPINK),"TAEYANG and  Lisa",2,2023,4,25,351,9,64,110,B,Minor,76,26,70,1,0,41,6
